# [Create] Tue Jan 29 2019 21:52:00 GMT+0800 (中国标准时间)
# [Pixel] 16x16
# [Memo] player
0x00, 0x00, 0x00, 0x00, 0x00, 0x7c, 0x4e, 0x7c, 0x4c, 0x7e, 0x7c, 0xa0, 0x10, 0x00, 0xc0, 0x00,
0x00, 0x00, 0x00, 0x00, 0x00, 0x1f, 0xbf, 0x3f, 0x3f, 0xbf, 0x1f, 0x00, 0x01, 0x01, 0x00, 0x00,

# editor_data_ended 
# clipboard data (one block = 8x8 pixel = 0x00 x 8)  
# 0 - 7 blocks 
0x40, 0x20, 0x20, 0xc0, 0x00, 0x7c, 0xfe, 0x7c,
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00,
# 24 - 31 blocks 
0x00, 0x00, 0x00, 0x08, 0x05, 0x1a, 0xba, 0x3b,
0x3d, 0xbc, 0x1f, 0x00, 0x00, 0x00, 0x00, 0x00,
0x00, 0x02, 0x03, 0x01, 0x02, 0x1f, 0xbc, 0x3e,
0x3d, 0xbc, 0x1f, 0x00, 0x00, 0x00, 0x00, 0x00,
0x00, 0x03, 0x04, 0x04, 0x02, 0x1c, 0xbd, 0x3a,
0x3b, 0xbc, 0x1f, 0x00, 0x00, 0x00, 0x00, 0x00,
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00,
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00,
# 32 - 39 blocks 
0x00, 0x00, 0x00, 0x00, 0x00, 0x7c, 0x4e, 0x7c,
0x4c, 0x7e, 0x7c, 0x90, 0x60, 0x50, 0x10, 0x20,
0x00, 0x00, 0x00, 0x00, 0x00, 0x7c, 0x4e, 0x7c,
0x4c, 0x7e, 0x7c, 0x90, 0x50, 0x40, 0x80, 0x80,
0x00, 0x00, 0x00, 0x00, 0x00, 0x7c, 0x4e, 0x7c,
0x4c, 0x7e, 0x7c, 0xa0, 0x10, 0x00, 0xc0, 0x00,
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00,
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00,
# 40 - 47 blocks 
0x00, 0x00, 0x00, 0x00, 0x00, 0x1f, 0xbf, 0x3f,
0x3f, 0x3f, 0x9f, 0x00, 0x00, 0x00, 0x00, 0x00,
0x00, 0x00, 0x00, 0x00, 0x00, 0x1f, 0xbf, 0x3f,
0x3f, 0xbf, 0x1f, 0x00, 0x00, 0x00, 0x00, 0x00,
0x00, 0x00, 0x00, 0x00, 0x00, 0x1f, 0x3f, 0xbf,
0x3f, 0xbf, 0x1f, 0x00, 0x01, 0x01, 0x00, 0x00,
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00,
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00,
# 48 - 55 blocks 
0x00, 0x00, 0x00, 0x00, 0x00, 0x7c, 0x4e, 0x7c,
0x4c, 0x7e, 0x7c, 0x90, 0x60, 0x50, 0x10, 0x20,
0x00, 0x00, 0x00, 0x00, 0x00, 0x7c, 0x4e, 0x7c,
0x4c, 0x7e, 0x7c, 0x90, 0x50, 0x40, 0x80, 0x80,
0x00, 0x00, 0x00, 0x00, 0x00, 0x7c, 0x4e, 0x7c,
0x4c, 0x7e, 0x7c, 0xa0, 0x10, 0x00, 0xc0, 0x00,
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00,
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00,
# 56 - 63 blocks 
0x00, 0x00, 0x00, 0x00, 0x00, 0x1f, 0xbf, 0x3f,
0x3f, 0xbf, 0x1f, 0x00, 0x00, 0x00, 0x00, 0x00,
0x00, 0x00, 0x00, 0x00, 0x00, 0x1f, 0xbf, 0x3f,
0x3f, 0xbf, 0x1f, 0x00, 0x00, 0x00, 0x00, 0x00,
0x00, 0x00, 0x00, 0x00, 0x00, 0x1f, 0xbf, 0x3f,
0x3f, 0xbf, 0x1f, 0x00, 0x01, 0x01, 0x00, 0x00,
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00,
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00,
# 64 - 71 blocks 
0x00, 0x00, 0x7c, 0x4e, 0x78, 0x48, 0x78, 0x7c,
0x86, 0x40, 0x20, 0x20, 0x30, 0x00, 0x00, 0x00,
0x00, 0x00, 0x7c, 0x4e, 0x78, 0x48, 0x7c, 0x7e,
0x80, 0x40, 0x40, 0x40, 0x40, 0x20, 0x00, 0x00,
0x00, 0x00, 0x7c, 0x4e, 0x7a, 0x48, 0x7c, 0x7e,
0x80, 0x40, 0x40, 0x40, 0x40, 0x20, 0x00, 0x00,
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00,
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00,
# 72 - 79 blocks 
0x00, 0x00, 0x9f, 0x3f, 0x3f, 0x3f, 0x3f, 0x9f,
0x01, 0x02, 0x02, 0x01, 0x01, 0x01, 0x0e, 0x00,
0x00, 0x00, 0x1f, 0xbf, 0x3f, 0x3f, 0xbf, 0x1f,
0x01, 0x02, 0x04, 0x04, 0x04, 0x03, 0x00, 0x00,
0x00, 0x00, 0x1f, 0xbf, 0x3f, 0x3f, 0x3f, 0x9f,
0x01, 0x02, 0x02, 0x02, 0x02, 0x02, 0x01, 0x00,
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00,
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00,
# 80 - 87 blocks 
0x00, 0x00, 0x7c, 0x4e, 0x78, 0x48, 0x78, 0x7c,
0x86, 0x40, 0x20, 0x20, 0x30, 0x00, 0x00, 0x00,
0x00, 0x00, 0x7c, 0x4e, 0x78, 0x48, 0x7c, 0x7e,
0x80, 0x40, 0x40, 0x40, 0x40, 0x20, 0x00, 0x00,
0x00, 0x00, 0x7c, 0x4e, 0x7a, 0x48, 0x7c, 0x7e,
0x80, 0x40, 0x40, 0x40, 0x40, 0x20, 0x00, 0x00,
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00,
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00,
# 88 - 95 blocks 
0x00, 0x00, 0x1f, 0xbf, 0x3f, 0x3f, 0xbf, 0x1f,
0x01, 0x02, 0x02, 0x01, 0x01, 0x01, 0x0e, 0x00,
0x00, 0x00, 0x1f, 0xbf, 0x3f, 0x3f, 0xbf, 0x1f,
0x01, 0x02, 0x04, 0x04, 0x04, 0x03, 0x00, 0x00,
0x00, 0x00, 0x1f, 0xbf, 0x3f, 0x3f, 0xbf, 0x1f,
0x01, 0x02, 0x02, 0x02, 0x02, 0x02, 0x01, 0x00,
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00,
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00,
# 96 - 103 blocks 
0x00, 0x00, 0x00, 0x30, 0x20, 0x20, 0x40, 0x80,
0x7e, 0x7c, 0x48, 0x7a, 0x4e, 0x7c, 0x00, 0x00,
0x00, 0x00, 0x20, 0x40, 0x40, 0x40, 0x40, 0x80,
0x7e, 0x7c, 0x48, 0x78, 0x4e, 0x7c, 0x00, 0x00,
0x00, 0x00, 0x20, 0x40, 0x40, 0x40, 0x40, 0x86,
0x7c, 0x78, 0x48, 0x78, 0x4e, 0x7c, 0x00, 0x00,
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00,
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00,
# 104 - 111 blocks 
0x00, 0x0e, 0x01, 0x01, 0x01, 0x02, 0x02, 0x01,
0x9f, 0x3f, 0x3f, 0x3f, 0x3f, 0x9f, 0x00, 0x00,
0x00, 0x00, 0x03, 0x04, 0x04, 0x04, 0x02, 0x01,
0x1f, 0xbf, 0x3f, 0x3f, 0xbf, 0x1f, 0x00, 0x00,
0x00, 0x01, 0x02, 0x02, 0x02, 0x02, 0x02, 0x01,
0x9f, 0x3f, 0x3f, 0x3f, 0x3f, 0x1f, 0x80, 0x00,
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00,
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00,
# 112 - 119 blocks 
0x00, 0x00, 0x00, 0x30, 0x20, 0x20, 0x40, 0x80,
0x7e, 0x7c, 0x48, 0x7a, 0x4e, 0x7c, 0x00, 0x00,
0x00, 0x00, 0x20, 0x40, 0x40, 0x40, 0x40, 0x80,
0x7e, 0x7c, 0x48, 0x78, 0x4e, 0x7c, 0x00, 0x00,
0x00, 0x00, 0x20, 0x40, 0x40, 0x40, 0x40, 0x86,
0x7c, 0x78, 0x48, 0x78, 0x4e, 0x7c, 0x00, 0x00,
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00,
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00,
# 120 - 127 blocks 
0x00, 0x0e, 0x01, 0x01, 0x01, 0x02, 0x02, 0x01,
0x1f, 0xbf, 0x3f, 0x3f, 0xbf, 0x1f, 0x00, 0x00,
0x00, 0x00, 0x03, 0x04, 0x04, 0x04, 0x02, 0x01,
0x1f, 0xbf, 0x3f, 0x3f, 0xbf, 0x1f, 0x00, 0x00,
0x00, 0x01, 0x02, 0x02, 0x02, 0x02, 0x02, 0x01,
0x1f, 0xbf, 0x3f, 0x3f, 0xbf, 0x1f, 0x00, 0x00,
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00,
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00,
# clipboard_data_ended 
